pk, mode, model,Scenario
1, xarp, mistralai/devstral-small-2-2512,"Anchor a box to the floor in front of me, and one to the ceiling.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          "
2, base, mistralai/devstral-small-2-2512,"Anchor a box to the floor in front of me, and one to the ceiling.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
3, xarp, mistralai/devstral-small-2-2512,"Generate two continuously rotating cubes in front of me                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
4, base, mistralai/devstral-small-2-2512,"Generate two continuously rotating cubes in front of me                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "
5, xarp, mistralai/devstral-small-2-2512,"Place a blue sphere on my hand (palm). Feel free to fall back if palm does not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
6, base, mistralai/devstral-small-2-2512,"Place a blue sphere on my hand (palm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
7, xarp, mistralai/devstral-small-2-2512,"display a yellow 2D texture as a canvas 10 by 10 pixel frame in front of me"
8, base, mistralai/devstral-small-2-2512,"display a yellow 2D texture as a canvas 10 by 10 pixel frame in front of me"
9, xarp, mistralai/devstral-small-2-2512,"Place a medicine bottle and an everyday portable object such as a backpack in the user's environment and start continuous sensing of RGB, depth, head pose, and hand pose. The system detects and labels both objects and overlays anchored prompts reading ""Medicine bottle detected. Select for guidance."" and ""Backpack detected. Select for assistance."" When the user selects the medicine bottle, the system displays context-aware text anchored to the bottle such as ""Check dosage and timing before use,"" followed by an option to step through dosage instructions. When the user selects the backpack, the system displays an anchored message like ""Need help preparing this item?"" and, upon selection, shows task-oriented guidance such as ""Suggested items based on context: laptop, charger, notebook."" Successful execution demonstrates multi-object detection, object-specific semantic reasoning, context-dependent instruction generation, and dynamic updating of AR text anchored to different physical objects. You can choose different objects as long as you show case at least two."
10, base, mistralai/devstral-small-2-2512,"Place a medicine bottle and an everyday portable object such as a backpack in the user's environment and start continuous sensing of RGB, depth, head pose, and hand pose. The system detects and labels both objects and overlays anchored prompts reading ""Medicine bottle detected. Select for guidance."" and ""Backpack detected. Select for assistance."" When the user selects the medicine bottle, the system displays context-aware text anchored to the bottle such as ""Check dosage and timing before use,"" followed by an option to step through dosage instructions. When the user selects the backpack, the system displays an anchored message like ""Need help preparing this item?"" and, upon selection, shows task-oriented guidance such as ""Suggested items based on context: laptop, charger, notebook."" Successful execution demonstrates multi-object detection, object-specific semantic reasoning, context-dependent instruction generation, and dynamic updating of AR text anchored to different physical objects. You can choose different objects as long as you show case at least two."
11, xarp, mistralai/devstral-small-2-2512,"For 20 seconds the system detects the distance counter increase based on integrated head pose translation. After 20 seconds stop detecting, and display the distance walked in meters to end task.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
12, base, mistralai/devstral-small-2-2512,"For 20 seconds the system detects the distance counter increase based on integrated head pose translation. After 20 seconds stop detecting, and display the distance walked in meters to end task.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
13, xarp, mistralai/devstral-small-2-2512,"Generate a grid of 25 spheres (5x5) arranged in a plane 2 meters in front of the user. Each sphere should be colored based on its position using a gradient (e.g., left side red transitioning to right side blue, and top green transitioning to bottom yellow). After spawning, animate each sphere to move up and down in a wave pattern, where the vertical displacement is computed based on a sine wave that propagates across the grid from left to right.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
14, base, mistralai/devstral-small-2-2512,"Generate a grid of 25 spheres (5x5) arranged in a plane 2 meters in front of the user. Each sphere should be colored based on its position using a gradient (e.g., left side red transitioning to right side blue, and top green transitioning to bottom yellow). After spawning, animate each sphere to move up and down in a wave pattern, where the vertical displacement is computed based on a sine wave that propagates across the grid from left to right.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
15, base, mistralai/devstral-small-2-2512,"Initially place only a red sphere 2 meters in front of the user. Only when user walks to the red sphere, spawn a blue cube 2 meters ahead                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
16, xarp, mistralai/devstral-small-2-2512,"Initially place only a red sphere 2 meters in front of the user. Only when user walks to the red sphere, spawn a blue cube 2 meters ahead                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
17, xarp, mistralai/devstral-small-2-2512,"Create a sun out of primitives that rises and sets                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
18, base, mistralai/devstral-small-2-2512,"Create a sun out of primitives that rises and sets                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "

